Remaining Lease Years,Avg Price Per SQM
43,3371.986223
44,4478.947295
45,4761.505096
46,4489.875738
47,4412.688817
48,4514.279178
49,4761.764811
50,4847.228106
51,4928.254309
52,5294.138596
53,4640.250763
54,4615.215811
55,4600.185902
56,4531.207122
57,4522.13757
58,4478.173068
59,4491.795818
60,4404.030163
61,4474.98693
62,4318.27458
63,4543.300987
64,4442.634175
65,4236.05295
66,4255.424837
67,4048.47284
68,3981.816953
69,4713.438887
70,4091.42203
71,4011.726888
72,4159.923532
73,4173.576883
74,4321.344893
75,4320.735429
76,4155.798619
77,4458.349113
78,4356.828571
79,4634.197991
80,4667.798091
81,4456.233452
82,5509.469563
83,6660.766115
84,5571.282262
85,6010.137366
86,6906.336149
87,5404.901375
88,7837.008993
89,5874.83023
90,5809.445291
91,5883.918873
92,5169.563572
93,6088.583244
94,6207.53581
95,6431.03702
96,9974.862828
